Chris De Burgh,Lady In Red,2,5,11,27,7,10,5,15,16,16,13,14,37,37,19,11,5,0,0,25,25,0,479,19,15.78947368,2,M,1986
Chris Rea,Driving Home For Xmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,1,40,40,M,1988
Cliff Richard And The Shadows,Congratulations,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,40,M,1968
Cliff Richard And The Shadows,Summer Holiday,0,0,25,16,19,0,0,0,0,0,31,0,0,0,31,0,39,0,0,31,11,13,153,9,24,11,M,1963
Coldplay,Paradise,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,19,19,M,2011
Coldplay,Viva La Vida,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30,30,M,2008
Daft Punk,Get Lucky,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,14,1,27,27,M,2013
Daniel O'Donnell,Danny Boy,27,0,7,4,15,13,37,16,37,28,25,19,0,0,0,0,13,0,0,0,25,0,267,13,20.46153846,4,M,1992
Daniel O'Donnell,I Just Want To Dance,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,19,19,M,1992
David Bowie,Life On Mars,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,1,22,22,M,1973
Dean Martin,That's Amore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,9,1,32,32,M,1954
Dolly Parton,9 To 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,27,1,14,14,F,1981
Dolly Parton,Jolene,0,0,0,0,0,0,0,0,0,0,18,38,0,34,35,35,0,0,0,0,0,0,45,5,32,18,F,1974
The Eagles,Hotel California,0,0,0,0,0,0,0,0,0,22,20,10,0,22,7,8,0,11,7,38,38,2,266,11,16.81818182,2,M,1977
Ed Sheeran,Castle On The Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,28,0,0,0,0,0,0,68,3,18.33333333,5,M,2017
Ed Sheeran,Galway Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,9,1,32,32,M,2017
Ed Sheeran,Lego House,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38,38,M,2011
Ed Sheeran,Perfect,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,9,0,19,21,13,16,7,208,8,15,2,M,2017
Ed Sheeran,Shape Of You,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,27,0,0,0,0,0,0,55,3,22.66666667,4,M,2017
Ed Sheeran,Thinking Out Loud,0,0,0,0,0,0,0,0,0,0,0,3,10,8,29,0,0,0,0,0,0,0,114,4,12.5,3,M,2014
Elvis Presley,Always On My Mind,35,0,0,0,0,0,0,0,0,0,0,30,0,40,23,0,0,0,0,0,0,0,36,4,32,23,M,1972
Elvis Presley,Blue Suede Shoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,1,10,10,M,1956
Elvis Presley,Can't Help Falling,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38,38,M,1962
Elvis Presley,Jailhouse Rock,25,34,8,34,25,0,0,0,0,0,27,0,28,14,36,34,34,0,0,6,27,18,224,14,25,6,M,1958
Elvis Presley,Love Me Tender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,1,12,12,M,1956
Elvis Presley,Suspicious Minds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,17,9,0,74,3,16.33333333,9,M,1969
Elvis Presley,The Wonder Of You,0,0,0,11,0,0,0,22,18,0,14,31,5,9,33,39,32,0,0,0,21,35,222,12,22.5,5,M,1970
Engelbert Humperdinck,(Please) Release Me,5,3,3,8,14,17,8,11,3,29,21,39,0,0,0,0,4,0,0,0,21,0,388,14,13.28571429,3,M,1967
Eva Cassidy,Over the Rainbow,34,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,17.66666667,3,F,2001
Frank Sinatra,Come Fly With Me,0,0,0,0,0,0,21,32,0,34,0,35,26,38,0,0,28,0,0,0,0,0,73,7,30.57142857,21,M,1958
Frank Sinatra,Fly Me To The Moon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,19,1,22,22,M,1964
Frank Sinatra,My Way,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,4,30,3,4,9,830,22,3.272727273,1,M,1969
Frank Sinatra,"New York, New York",8,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,30,0,0,17,0,0,74,4,22.5,8,M,1980
Frank Sinatra,Strangers In The Night,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30,30,M,1966
George Ezra,Paradise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,24,2,29,28,M,2018
George Ezra,Shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,17,37,0,0,0,100,4,16,2,M,2018
Gerry Ant The Pacemakers,You'll Never Walk Alone,38,0,0,0,0,33,35,0,0,0,0,0,0,0,0,21,0,30,0,0,28,16,86,7,28.71428571,16,M,1963
Glenn Miller And His Orchestra,In The Mood,37,31,9,10,12,18,10,13,11,13,15,7,11,0,0,0,12,0,0,13,15,0,419,16,14.8125,7,M,1939
Glenn Miller And His Orchestra,Moonlight Serenade,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,33,0,0,0,0,0,51,3,24,16,M,1939
Guns N' Roses,Sweet Child O' Mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,14,1,27,27,M,1988
Harry Styles,As It Was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,34,14,81,4,20.75,1,M,2022
Harry Styles,Sign Of The Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,44,2,19,19,M,2017
Idina Menzel,Let It Go,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,51,2,15.5,15,F,2014
James Blunt,You're Beautiful,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,64,3,19.66666667,10,M,2005
Jennifer Rush,The Power Of Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,6,1,35,35,F,1985
Jessie J,Domino,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,33,33,F,2011
Jim Reeves,Distant Drums,7,12,40,0,0,24,18,21,22,0,23,0,0,0,0,0,17,0,0,0,0,0,185,9,20.44444444,7,M,1966
Jim Reeves,He'll Have To Go,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,36,36,M,1960
Jim Reeves,I Love You Because,17,17,13,21,20,5,19,7,27,7,26,23,14,31,0,0,11,0,0,5,33,34,408,18,18.33333333,5,M,1964
John Denver,Annie's Song,33,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,16,3,35.66666667,33,M,1974
John Lennon,Imagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,42,2,20,20,M,1975
